"soil_name","bulk_density_0_10","bulk_density_10_20","bulk_density_20_40","bulk_density_40_100","bulk_density_sd_0_10","bulk_density_sd_10_20","bulk_density_sd_20_40","bulk_density_sd_40_100","n_0_10","n_10_20","n_20_40","n_40_100"
"acadia",1.4,1.5096443452381,1.62,1.81,0.246635757280942,0.210069553241103,0.215883238671701,0.05,1,0,1,3
"albany",1.6,1.5096443452381,1.69,1.74666666666667,0.246635757280942,0.210069553241103,0.014142135623731,0.0956382071489562,1,0,2,6
"allanton",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"angelina",1.53,1.5096443452381,1.81,1.69666666666667,0.246635757280942,0.210069553241103,0.215883238671701,0.0550757054728611,1,0,1,3
"appling",1.3509262485482,1.5096443452381,1.50104635443921,1.31,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,1
"arkana",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"ashe",1.26,1.5096443452381,1.58,1.79,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,1,0,1,1
"ashlar",1.3509262485482,1.5096443452381,1.57,1.55,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,1,1
"attoyac",1.63,1.585,1.648,1.7775,0.226274169979695,0.134350288425444,0.122351951353462,0.0337003603202442,2,2,5,8
"bayboro",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"beauregard",1.39,1.6,1.62,1.70666666666667,0.246635757280942,0.210069553241103,0.215883238671701,0.0850490054811538,1,1,1,3
"benndale",1.53,1.5096443452381,1.63,1.69,0.246635757280942,0.210069553241103,0.215883238671701,0.0173205080756888,1,0,1,3
"bernaldo",1.3509262485482,1.44,1.51,1.67142857142857,0.246635757280942,0.210069553241103,0.0800000000000001,0.0817370930542087,0,1,3,7
"besner",1.24,1.5096443452381,1.47,1.688,0.246635757280942,0.210069553241103,0.014142135623731,0.148895936814945,1,0,2,5
"bethera",1.27,1.5096443452381,1.34,1.74,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,1,0,1,1
"betis",1.3509262485482,1.5096443452381,1.50104635443921,1.72,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,1
"bibb",1.3509262485482,1.5096443452381,1.14,1.38,0.246635757280942,0.210069553241103,0.215883238671701,0.127279220613579,0,0,1,2
"blanton",1.45,1.5096443452381,1.50104635443921,1.57,0.246635757280942,0.210069553241103,0.215883238671701,0.0264575131106459,1,0,0,3
"bonneau",1.66,1.81,1.50104635443921,1.64,0.246635757280942,0.210069553241103,0.215883238671701,0.0299999999999999,1,1,0,3
"boulogne",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"bude",1.54,1.5096443452381,1.50104635443921,1.675,0.127279220613579,0.210069553241103,0.215883238671701,0.124766448481419,2,0,0,4
"burton",0.7225,0.935,1.046,1.27166666666667,0.12737739202857,0.275771644662753,0.114367827643966,0.0847152091815081,4,2,5,6
"caddo",1.465,1.6,1.685,1.7075,0.0494974746830584,0.210069553241103,0.0212132034355964,0.0713559154286921,2,1,2,4
"cahaba",1.4,1.37,1.47333333333333,1.526,0.0556776436283002,0.210069553241103,0.0757187779440037,0.0439317652729776,3,1,3,5
"carnasaw",1.5,1.59,1.43333333333333,1.55142857142857,0.325269119345812,0.0565685424949237,0.155349069303081,0.110064915910047,2,2,3,7
"cartecay",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"cashiers",1.3509262485482,1.5096443452381,1.04,1.31,0.246635757280942,0.210069553241103,0.215883238671701,0.0989949493661166,0,0,1,2
"cataula",1.39,1.72,1.51,1.505,0.246635757280942,0.210069553241103,0.215883238671701,0.120208152801713,1,1,1,2
"cecil",1.58571428571429,1.64666666666667,1.59083333333333,1.498,0.13226956602045,0.102143689640297,0.124568953766275,0.097689087900015,7,3,12,20
"chandler",1.3509262485482,1.62,1.50104635443921,2.07666666666667,0.246635757280942,0.210069553241103,0.215883238671701,0.271538824725551,0,1,0,3
"chestnut",1.3509262485482,1.5096443452381,1.13,1.45,0.246635757280942,0.210069553241103,0.215883238671701,0.0989949493661167,0,0,1,2
"chewacla",1.355,1.5096443452381,1.48,1.53333333333333,0.190918830920368,0.210069553241103,0.0692820323027551,0.118462370959446,2,0,3,3
"clarksville",1.3509262485482,1.5096443452381,1.50104635443921,2.04,0.246635757280942,0.210069553241103,0.215883238671701,0.0916515138991169,0,0,0,3
"clebit",1.48,1.5096443452381,1.51,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,1,0,1,0
"clifton",1.29857142857143,1.53,1.47166666666667,1.3935,0.108386433872598,0.0916515138991168,0.0820771994324043,0.106389304963076,7,3,6,20
"congaree",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"cowarts",1.525,1.65,1.66333333333333,1.70055555555556,0.088881944173156,0.0282842712474619,0.091796877216312,0.108653373420044,4,2,6,18
"cowee",1.33,1.5096443452381,1.64,1.83,0.246635757280942,0.210069553241103,0.215883238671701,0.395979797464466,1,0,1,2
"craggey",0.76,1.04,0.97,1.59451747615447,0.10816653826392,0.210069553241103,0.215883238671701,0.19649269329816,3,1,1,0
"craven",1.45,1.62,1.58333333333333,1.588,0.014142135623731,0.210069553241103,0.153079500042734,0.0402492235949962,2,1,3,5
"cullasaja",0.925,0.84,1.32666666666667,1.54666666666667,0.0353553390593273,0.210069553241103,0.319426569548204,0.185022521151706,2,1,3,3
"davidson",1.59,1.5096443452381,1.5725,1.57666666666667,0.12,0.210069553241103,0.0206155281280883,0.104626319187223,3,0,4,6
"dorovan",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"dothan",1.405,1.65666666666667,1.778,1.636,0.346482322781408,0.124525767079214,0.0834865258589673,0.068677992593455,2,6,5,25
"duplin",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"edneyville",0.82,1.19,1.50104635443921,1.075,0.246635757280942,0.210069553241103,0.215883238671701,0.0493288286231624,1,1,0,4
"enon",1.07,1.48,1.52,1.76333333333333,0.246635757280942,0.210069553241103,0.215883238671701,0.0873689494805411,1,1,1,3
"escambia",1.3509262485482,1.33,1.7,1.78,0.246635757280942,0.210069553241103,0.215883238671701,0.0282842712474619,0,1,1,2
"estate",1.3509262485482,1.64,1.50104635443921,1.74,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,1,0,1
"esto",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"evard",1.3509262485482,1.5096443452381,1.49,1.555,0.246635757280942,0.210069553241103,0.215883238671701,0.0636396103067893,0,0,1,2
"evergreen",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"fannin",1.19,1.305,1.3075,1.35818181818182,0.212132034355964,0.0212132034355964,0.0590903263374528,0.124082084268292,2,2,4,11
"forestdale",1.595,1.5096443452381,1.686,1.70538461538462,0.141539158303748,0.210069553241103,0.133341666406266,0.08471672253412,4,0,5,13
"foxworth",1.3509262485482,1.5096443452381,1.50104635443921,1.795,0.246635757280942,0.210069553241103,0.215883238671701,0.00707106781186548,0,0,0,2
"fuquay",1.43,1.805,1.69,1.704,0.246635757280942,0.106066017177982,0.215883238671701,0.045752959831396,1,2,1,10
"glenmora",1.42,1.5096443452381,1.59,1.635,0.246635757280942,0.210069553241103,0.215883238671701,0.0353553390593273,1,0,1,2
"goldsboro",1.38,1.5096443452381,1.55,1.668,0.246635757280942,0.210069553241103,0.062449979983984,0.0396232255123179,1,0,3,5
"greenville",1.765,1.69,1.6375,1.62611111111111,0.109498858441538,0.0707106781186548,0.0747854072854935,0.0825433140406324,6,2,8,18
"guyton",1.4525,1.655,1.58,1.646,0.097082439194738,0.120208152801713,0.0724568837309472,0.135088448391744,4,2,5,10
"gwinnett",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"hard labor",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"harleston",1.28,1.49,1.565,1.7,0.246635757280942,0.210069553241103,0.0494974746830584,0.03,1,1,2,3
"helena",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"hemphill",1.3509262485482,1.53,1.64,1.45571428571429,0.246635757280942,0.15556349186104,0.215883238671701,0.11355720186425,0,2,1,7
"hiwassee",1.60333333333333,1.645,1.625,1.56769230769231,0.159457413332421,0.0881286937760152,0.0808879295250975,0.0953199739608516,6,4,8,13
"hurricane",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"kingsferry",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"kinston",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"kolin",1.435,1.53,1.56,1.706,0.0494974746830584,0.210069553241103,0.215883238671701,0.105261578935526,2,1,1,5
"lakeland",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"latonia",1.51,1.5096443452381,1.58,1.65333333333333,0.246635757280942,0.210069553241103,0,0.0305505046330388,1,0,2,3
"leadvale",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"leefield",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"lenoir",1.41,1.61,1.47,1.486,0,0.210069553241103,0.215883238671701,0.0702139587261679,2,1,1,5
"leon",1.05,1.5096443452381,1.47666666666667,1.45,0.29698484809835,0.210069553241103,0.21594752448994,0.321403173599764,2,0,3,3
"lexington",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"lily",1.39333333333333,1.35833333333333,1.55875,1.65714285714286,0.300222139978605,0.128127540625217,0.122408858222878,0.112552795914326,3,6,8,14
"lloyd",1.415,1.51,1.57,1.558,0.558614357137373,0.210069553241103,0.254558441227157,0.228516957795259,2,1,2,5
"louisburg",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"lucy",1.3509262485482,1.58,1.50104635443921,1.616,0.246635757280942,0.210069553241103,0.215883238671701,0.0512835256198323,0,1,0,5
"lynchburg",1.33,1.7,1.71,1.816,0.29698484809835,0.0565685424949239,0.0989949493661167,0.0931665175908169,2,2,2,5
"madison",1.35,1.765,1.47666666666667,1.46444444444444,0.306104557300279,0.0212132034355964,0.0929157324317756,0.07650344945019,3,2,3,9
"malbis",1.58666666666667,1.63857142857143,1.67,1.72321428571429,0.108750478926148,0.162729691147474,0.0616441400296898,0.0730830867310459,6,7,9,28
"mantachie",1.55,1.635,1.595,1.61384615384615,0.0294392028877595,0.0777817459305201,0.106160256216722,0.12692113440627,4,2,6,13
"mascotte",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"mattex",1.24,1.5096443452381,1.47,1.715,0.246635757280942,0.210069553241103,0.0565685424949239,0.0212132034355964,1,0,2,2
"mclaurin",1.4,1.59,1.62,1.6,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,1,1,1,1
"mecklenburg",1.61,1.5096443452381,1.41,1.346,0.0424264068711927,0.210069553241103,0.215883238671701,0.146901327427631,2,0,1,5
"meggett",1.37,1.515,1.7,1.75,0.113137084989848,0.0494974746830584,0.0565685424949239,0.0707106781186548,2,2,2,5
"moko",1.29,1.37,1.52,1.47,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,1,1,1,1
"mollville",1.335,1.57,1.7125,1.65777777777778,0.388908729652601,0.0282842712474619,0.199895806192459,0.158727579344122,2,2,4,9
"nikwasi",0.96,1.5096443452381,1.24,1.325,0.246635757280942,0.210069553241103,0.215883238671701,0.00707106781186548,1,0,1,2
"nixa",1.3509262485482,1.5096443452381,1.50104635443921,1.96,0.246635757280942,0.210069553241103,0.215883238671701,0.212132034355964,0,0,0,2
"noark",1.3509262485482,1.5096443452381,1.50104635443921,1.44,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,1
"norfolk",1.735,1.72,1.774,1.70833333333333,0.0443471156521669,0.0565685424949239,0.0622896460095898,0.0649207661873529,4,2,5,18
"ocilla",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"olustee",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"orangeburg",1.76333333333333,1.83,1.73111111111111,1.683125,0.185022521151706,0.210069553241103,0.0964940988408675,0.0878421880419653,3,1,9,16
"ouachita",1.3509262485482,1.54,1.46,1.56,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,1,1,1
"pacolet",1.16,1.5096443452381,1.4325,1.60272727272727,0.0888819441731559,0.210069553241103,0.177270979012358,0.269224475450911,3,0,4,11
"pamlico",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"pantego",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"pelham",1.6,1.5096443452381,1.65,1.8,0.246635757280942,0.210069553241103,0.215883238671701,0.0360555127546399,1,0,1,3
"plott",0.95,1.5096443452381,0.96,1.18666666666667,0.246635757280942,0.210069553241103,0.215883238671701,0.128970280814354,1,0,1,3
"plummer",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"poarch",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"ponzer",0.8,1.5096443452381,0.72,1.15,0.246635757280942,0.210069553241103,0.215883238671701,0.240416305603426,1,0,1,2
"portia",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"pottsburg",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"providence",1.21333333333333,1.5275,1.56666666666667,1.635,0.204287379280594,0.0846069343099804,0.0152752523165195,0.0988571053224161,3,4,3,12
"rains",1.35,1.465,1.5725,1.69714285714286,0.06557438524302,0.0777817459305203,0.0602079728939614,0.0446147530585589,3,2,4,7
"reddies",0.91,1.34,1.24333333333333,1.23,0.197989898732233,0.210069553241103,0.280059517483933,0.13076696830622,2,1,3,3
"rexor",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"rosman",1.1,1.33,1.24,1.29,0.212132034355964,0.210069553241103,0.127279220613579,0.132233559604642,2,1,2,8
"ruston",1.49,1.7175,1.7025,1.75352941176471,0.0367423461417477,0.17423642940939,0.0394757309410901,0.0561183098986628,5,4,4,17
"rutlege",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"sacul",1.435,1.48,1.62666666666667,1.64,0.0919238815542511,0.210069553241103,0.0513160143944688,0.0728010988928051,2,1,3,5
"saffell",1.3509262485482,1.38,1.36,1.21,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,1,1,1
"sapelo",1.3509262485482,1.52,1.50104635443921,1.61,0.246635757280942,0.210069553241103,0.215883238671701,0.0692820323027551,0,1,0,6
"saucier",1.42,1.59,1.67,1.685,0.127279220613579,0.210069553241103,0.014142135623731,0.0404145188432738,2,1,2,4
"saunook",1.3,1.29,1.43,1.26,0.246635757280942,0.175214154679352,0.229128784747792,0.208885933785244,1,3,3,7
"sharkey",1.54,1.852,1.80785714285714,1.81230769230769,0.346121365997536,0.055703295619354,0.0867515082048962,0.104280686315643,7,15,14,26
"smithdale",1.57,1.5096443452381,1.5575,1.7,0.0264575131106459,0.210069553241103,0.0903234926989282,0.05,3,0,4,5
"smithton",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"susquehanna",1.36,1.475,1.77,1.88333333333333,0.226274169979695,0.162634559672906,0.0761577310586392,0.0553774924194538,2,2,4,6
"tate",1.55,1.345,1.505,1.526,0.246635757280942,0.205060966544099,0.0919238815542513,0.0998999499499374,1,2,2,5
"tippah",1.29,1.5096443452381,1.505,1.76333333333333,0.246635757280942,0.210069553241103,0.0919238815542513,0.187171935218219,1,0,2,3
"toccoa",1.32,1.45,1.66,1.7,0.246635757280942,0.210069553241103,0.215883238671701,0.0360555127546399,1,1,1,3
"toinette",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"townley",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"toxaway",1.06,1.5096443452381,1.07,1.23666666666667,0.246635757280942,0.210069553241103,0.0282842712474619,0.0288675134594813,1,0,2,3
"trimont",0.95,1.12,1.37,1.42833333333333,0.246635757280942,0.183847763108502,0.0282842712474618,0.170577450639487,1,2,2,6
"troup",1.58,1.71,1.5,1.87,0.0989949493661166,0.210069553241103,0.215883238671701,0.459238500128201,2,1,1,3
"tuckasegee",1.3509262485482,1.11,0.97,1.17,0.246635757280942,0.210069553241103,0.215883238671701,0.09,0,1,1,3
"tusquitee",0.57,1.2,1.14,1.3,0.246635757280942,0.210069553241103,0.215883238671701,0.15556349186104,1,1,1,2
"udorthents",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"unaka",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"urban land",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"vance",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"wadley",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"wagram",1.3509262485482,1.57,1.63,1.6775,0.246635757280942,0.169705627484771,0.215883238671701,0.105633012516605,0,2,1,4
"wahee",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"wehadkee",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"whiteside",1.3509262485482,1.5096443452381,1.21,1.30666666666667,0.246635757280942,0.210069553241103,0.215883238671701,0.0550757054728611,0,0,1,3
"wickham",1.41,1.5096443452381,1.71,1.69,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,1,0,1,1
"wilkes",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"woden",1.3509262485482,1.5096443452381,1.50104635443921,1.59451747615447,0.246635757280942,0.210069553241103,0.215883238671701,0.19649269329816,0,0,0,0
"wrightsville",1.42666666666667,1.67,1.598,1.78454545454545,0.11060440015358,0.210069553241103,0.0807465169527454,0.0951171526448975,3,1,5,11
