"soil_name","horizon","ca_per","bulk_density","bulk_density_sd","n","sand","silt","clay","frag","ca_g_m2","total_ca_horizon"
"acadia","0_10",0.0176,1.4,0.246635757280942,1,58.5,36.4,5.1,2,0.0241472,0.24147
"acadia","10_20",0.0212,1.5096443452381,0.210069553241103,0,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,0.0310596435611283,0.3106
"acadia","20_40",0.0248,1.62,0.215883238671701,1,40.9,37.5,21.6,2,0.03937248,0.78745
"acadia","40_100",0.0376666666666667,1.81,0.05,3,35.8333333333333,33.0333333333333,31.1333333333333,1.66666666666667,0.0670403888888889,4.02242
"albany","0_10",0.0788444444444444,1.6,0.246635757280942,1,46.4333333333333,7.40555555555556,2.86666666666667,0.0555555555555556,0.126081027160494,1.26081
"albany","10_20",0.0118,1.5096443452381,0.210069553241103,0,45.6285714285714,5.97142857142857,2.24285714285714,0,0.0178138032738096,0.17814
"albany","20_40",0.00195555555555556,1.69,0.014142135623731,2,57.1647058823529,7.74444444444444,2.60555555555556,0.0555555555555556,0.00330305283950617,0.06606
"albany","40_100",0.00169811320754717,1.74666666666667,0.0956382071489562,6,53.5452830188679,6.73962264150943,2.40754716981132,0.0754716981132075,0.00296379921680314,0.17783
"allanton","0_10",0.0018,1.3509262485482,0.246635757280942,0,21.2,6.2,7.8,0,0.00243166724738676,0.02432
"allanton","10_20",6e-04,1.5096443452381,0.210069553241103,0,95.2,6.5,2,0,0.00090578660714286,0.00906
"allanton","20_40",4e-04,1.50104635443921,0.215883238671701,0,17.25,8.15,3.05,0,0.000600418541775684,0.01201
"allanton","40_100",0.00048,1.59451747615447,0.19649269329816,0,68.1,7,2.68,0,0.000765368388554146,0.04592
"angelina","0_10",8.42,1.53,0.246635757280942,1,30.2,40.5,29.3,0,12.8826,128.826
"angelina","10_20",9.385,1.5096443452381,0.210069553241103,0,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,13.7497525859051,137.49753
"angelina","20_40",10.35,1.81,0.215883238671701,1,16.6,42.1,41.3,0,18.7335,374.67
"angelina","40_100",5.61,1.69666666666667,0.0550757054728611,3,52.5333333333333,22.9666666666667,24.5,0,9.51830000000002,571.098
"appling","0_10",0.0046,1.3509262485482,0.246635757280942,0,65.0666666666667,21.1333333333333,12.6,4,0.00596569031358885,0.05966
"appling","10_20",0.0289,1.5096443452381,0.210069553241103,0,31.175,38.425,15.125,0,0.0436287215773811,0.43629
"appling","20_40",0.001,1.50104635443921,0.215883238671701,0,36.8,20.6,42.6,0,0.00150104635443921,0.03002
"appling","40_100",0.00227272727272727,1.31,0.19649269329816,1,42.0181818181818,25.5,32.9090909090909,2.72727272727273,0.00289607438016529,0.17376
"arkana","0_10",4.221125,1.3509262485482,0.246635757280942,0,26.26875,54.1375,19.6,0,5.70242856090302,57.02429
"arkana","10_20",7.21485714285714,1.5096443452381,0.210069553241103,0,26.5285714285714,49.4571428571429,24.0142857142857,0,10.891868287415,108.91868
"arkana","20_40",6.64757894736842,1.50104635443921,0.215883238671701,0,19.9578947368421,39.3421052631579,40.6947368421053,0,9.97832414479421,199.56648
"arkana","40_100",9.92843243243243,1.59451747615447,0.19649269329816,0,11.5108108108108,26.2378378378378,62.2378378378378,0,15.8310590243323,949.86354
"ashe","0_10",0.105133333333333,1.26,0.246635757280942,1,48.7666666666667,35.2333333333333,16,6.33333333333333,0.12407836,1.24078
"ashe","10_20",0.0089,1.5096443452381,0.210069553241103,0,49.2,36.75,14.05,2,0.0131671179791667,0.13167
"ashe","20_40",0,1.58,0.215883238671701,1,63.5,22.7,13.8,1,0,NA
"ashe","40_100",0.0038,1.79,0.19649269329816,1,59.06,27.64,13.3,8,0.00625784,0.37547
"ashlar","0_10",0.0066,1.3509262485482,0.246635757280942,0,48.2886660985049,31.5216808172776,14.2365984772959,2.55253239021966,0.00868852656200779,0.08689
"ashlar","10_20",0.0066,1.5096443452381,0.210069553241103,0,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,0.00966951167469089,0.0967
"ashlar","20_40",0.0066,1.57,0.215883238671701,1,74.2,20.1,5.7,14,0.00891132,0.17823
"ashlar","40_100",0.0123,1.55,0.19649269329816,1,75.2,19.4,5.4,30,0.0133455,0.80073
"attoyac","0_10",0.584466666666667,1.63,0.226274169979695,2,64.0333333333333,31.7333333333333,4.23333333333333,0.333333333333333,0.949505064444444,9.49505
"attoyac","10_20",0.0309,1.585,0.134350288425444,2,72.75,24.25,3,1,0.048486735,0.48487
"attoyac","20_40",0.8668,1.648,0.122351951353462,5,61.2333333333333,30.45,8.31666666666667,0.333333333333333,1.42372477866667,28.4745
"attoyac","40_100",0.222527272727273,1.7775,0.0337003603202442,8,49.0545454545455,26.5636363636364,24.3818181818182,0.181818181818182,0.394823059586777,23.68938
"bayboro","0_10",0.168,1.3509262485482,0.246635757280942,0,44.8,20.4,34.8,0,0.226955609756098,2.26956
"bayboro","10_20",0.094,1.5096443452381,0.210069553241103,0,36,31.2666666666667,32.7333333333333,0,0.141906568452381,1.41907
"bayboro","20_40",0.02,1.50104635443921,0.215883238671701,0,31.95,32.85,35.2,0,0.0300209270887842,0.60042
"bayboro","40_100",0.160888888888889,1.59451747615447,0.19649269329816,0,26.6666666666667,24.5,48.8333333333333,0,0.256540145052408,15.39241
"beauregard","0_10",0.0549666666666667,1.39,0.246635757280942,1,39.1833333333333,55.1333333333333,5.68333333333333,1.16666666666667,0.0755122905555555,0.75512
"beauregard","10_20",0.0142333333333333,1.6,0.210069553241103,1,36.0666666666667,54.7,9.23333333333333,1,0.0225456,0.22546
"beauregard","20_40",0.0093,1.62,0.215883238671701,1,30.8166666666667,52.3666666666667,16.8166666666667,1,0.01491534,0.29831
"beauregard","40_100",0.0090875,1.70666666666667,0.0850490054811538,3,27.90625,52.375,19.71875,1.25,0.0153154666666667,0.91893
"benndale","0_10",0,1.53,0.246635757280942,1,71.4,18.95,9.65,0.5,0,NA
"benndale","10_20",0,1.5096443452381,0.210069553241103,0,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,0,NA
"benndale","20_40",0,1.63,0.215883238671701,1,64.15,20.1,15.75,0,0,NA
"benndale","40_100",0,1.69,0.0173205080756888,3,69.12,17.16,13.72,0.6,0,NA
"bernaldo","0_10",2.65466666666667,1.3509262485482,0.246635757280942,0,62.0666666666667,35.5,2.43333333333333,0,3.58625888114595,35.86259
"bernaldo","10_20",0.026,1.44,0.210069553241103,1,52.3,42.1,5.6,0,0.03744,0.3744
"bernaldo","20_40",0.308,1.51,0.0800000000000001,3,56.625,37.875,5.5,0,0.46508,9.3016
"bernaldo","40_100",1.88571428571429,1.67142857142857,0.0817370930542087,7,41.4857142857143,32.4428571428571,26.0714285714286,0.142857142857143,3.14733411078717,188.84005
"besner","0_10",0.014,1.24,0.246635757280942,1,66,31.2,2.8,0,0.01736,0.1736
"besner","10_20",0.012,1.5096443452381,0.210069553241103,0,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,0.0175809303176198,0.17581
"besner","20_40",0.01,1.47,0.014142135623731,2,65.45,31.85,2.7,0,0.0147,0.294
"besner","40_100",0.0028,1.688,0.148895936814945,5,61.6,35.62,2.78,0,0.0047264,0.28358
"bethera","0_10",3.3474,1.27,0.246635757280942,1,48.9,54.65,31.7,0,4.251198,42.51198
"bethera","10_20",0.0092,1.5096443452381,0.210069553241103,0,6.8,51.5,24.3,0,0.0138887279761905,0.13889
"bethera","20_40",3.4925,1.34,0.215883238671701,1,46.1,49.95,38.55,0,4.67995,93.599
"bethera","40_100",1.8594,1.74,0.19649269329816,1,15.5666666666667,30.1,53.9,0,3.235356,194.12136
"betis","0_10",0.8714,1.3509262485482,0.246635757280942,0,48.2886660985049,31.5216808172776,14.2365984772959,2.55253239021966,1.14714879486872,11.47149
"betis","10_20",0.8714,1.5096443452381,0.210069553241103,0,90.85,7.35,1.8,0,1.31550408244048,13.15504
"betis","20_40",0.0058,1.50104635443921,0.215883238671701,0,84.3,13.1,2.6,0,0.00870606885574742,0.17412
"betis","40_100",0.12612,1.72,0.19649269329816,1,86.76,9.2,4.04,0,0.2169264,13.01558
"bibb","0_10",0.7975,1.3509262485482,0.246635757280942,0,70.375,21.9,7.725,0,1.07736368321719,10.77364
"bibb","10_20",0.095,1.5096443452381,0.210069553241103,0,48.3,37.55,14.05,0,0.14341621279762,1.43416
"bibb","20_40",0.124,1.14,0.215883238671701,1,61.52,27.56,10.88,0,0.14136,2.8272
"bibb","40_100",0.114,1.38,0.127279220613579,2,76.28,15.69,7.99,0.2,0.15700536,9.42032
"blanton","0_10",0.0999894736842105,1.45,0.246635757280942,1,54.0944444444444,6.24736842105263,2.58947368421053,0,0.144984736842105,1.44985
"blanton","10_20",0.16375,1.5096443452381,0.210069553241103,0,64.475,8.375,2.9875,0,0.247204261532739,2.47204
"blanton","20_40",0.004,1.50104635443921,0.215883238671701,0,51.1769230769231,7.76428571428571,3.35714285714286,0,0.00600418541775684,0.12008
"blanton","40_100",0.00310204081632653,1.57,0.0264575131106459,3,58.4387755102041,6.66734693877551,2.73877551020408,0,0.00487020408163265,0.29221
"bonneau","0_10",2.22496363636364,1.66,0.246635757280942,1,76.54,11.3454545454545,4.59090909090909,1.81818181818182,3.62628618842975,36.26286
"bonneau","10_20",0.1162,1.81,0.210069553241103,1,75.9833333333333,8.43333333333333,2.73333333333333,4.16666666666667,0.201558583333333,2.01559
"bonneau","20_40",0.428215384615385,1.50104635443921,0.215883238671701,0,65.4692307692308,11.6076923076923,6.16923076923077,1.46153846153846,0.633376794531829,12.66754
"bonneau","40_100",0.0871888888888889,1.64,0.0299999999999999,3,55.8648148148148,9.37592592592593,18.2851851851852,1.18518518518519,0.141295084115226,8.47771
"boulogne","0_10",0.00566666666666667,1.3509262485482,0.246635757280942,0,59.3333333333333,4.66666666666667,1.86666666666667,0,0.00765524874177313,0.07655
"boulogne","10_20",0.00371333333333333,1.5096443452381,0.210069553241103,0,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,0.00544032121495235,0.0544
"boulogne","20_40",0.00176,1.50104635443921,0.215883238671701,0,33.675,5.22,2.54,0,0.00264184158381301,0.05284
"boulogne","40_100",0.00088,1.59451747615447,0.19649269329816,0,67.5444444444445,4.33,2.65,0,0.00140317537901593,0.08419
"bude","0_10",0.055,1.54,0.127279220613579,2,24.4,65.55,10.05,0,0.0847,0.847
"bude","10_20",0.044,1.5096443452381,0.210069553241103,0,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,0.0644634111646059,0.64463
"bude","20_40",0.033,1.50104635443921,0.215883238671701,0,16.15,64.55,19.3,0,0.0495345296964939,0.99069
"bude","40_100",0.0277777777777778,1.675,0.124766448481419,4,14.8888888888889,61.2222222222222,23.8888888888889,0,0.0465277777777778,2.79167
"burton","0_10",0.0128222222222222,0.7225,0.12737739202857,4,55.0444444444444,29.3111111111111,20.5125,11.7777777777778,0.00817295567901235,0.08173
"burton","10_20",0.004,0.935,0.275771644662753,2,55.35,28.125,16.525,5.25,0.00354365,0.03544
"burton","20_40",0.00135,1.046,0.114367827643966,5,54.7625,30.6875,14.55,15.75,0.00118969425,0.02379
"burton","40_100",0.00194545454545455,1.27166666666667,0.0847152091815081,6,56.1636363636364,30.5181818181818,13.3181818181818,10.7272727272727,0.00220858022038568,0.13251
"caddo","0_10",0.012,1.465,0.0494974746830584,2,24.4285714285714,69.4571428571429,6.11428571428571,0.714285714285714,0.0174544285714286,0.17454
"caddo","10_20",0.0084,1.6,0.210069553241103,1,19.1,69.575,11.325,0.5,0.0133728,0.13373
"caddo","20_40",0.005325,1.685,0.0212132034355964,2,21.4,66.675,11.925,0.25,0.0089501934375,0.179
"caddo","40_100",0.014875,1.7075,0.0713559154286921,4,18.26875,63.74375,17.9875,0.3125,0.0253196904296875,1.51918
"cahaba","0_10",3.104,1.4,0.0556776436283002,3,51.35,34.175,14.4666666666667,0,4.3456,43.456
"cahaba","10_20",1.34171428571429,1.37,0.210069553241103,1,51.3,31.5,17.2,0,1.83814857142857,18.38149
"cahaba","20_40",2.4204,1.47333333333333,0.0757187779440037,3,47.9466666666667,32.9,19.14,0,3.56605599999999,71.32112
"cahaba","40_100",1.77981818181818,1.526,0.0439317652729776,5,46.1545454545455,28.3606060606061,25.469696969697,0,2.71600254545455,162.96015
"carnasaw","0_10",0.109,1.5,0.325269119345812,2,27.6,61.4,10.975,8.25,0.15001125,1.50011
"carnasaw","10_20",0.04285,1.59,0.0565685424949237,2,29.775,56.975,14.3,9.75,0.06148867875,0.61489
"carnasaw","20_40",0.0184666666666667,1.43333333333333,0.155349069303081,3,11.4333333333333,36.4666666666667,52.0666666666667,4.66666666666667,0.025233674074074,0.50467
"carnasaw","40_100",0.00809230769230769,1.55142857142857,0.110064915910047,7,15.6923076923077,33.7153846153846,51.8769230769231,5.61538461538461,0.0118496461876585,0.71098
"cartecay","0_10",0,1.3509262485482,0.246635757280942,0,53.1,26,20.9,0,0,NA
"cartecay","10_20",0,1.5096443452381,0.210069553241103,0,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,0,NA
"cartecay","20_40",0,1.50104635443921,0.215883238671701,0,71.2,16.3,12.5,0,0,NA
"cartecay","40_100",0,1.59451747615447,0.19649269329816,0,69,18.8,12.2,0,0,NA
"cashiers","0_10",0.0148,1.3509262485482,0.246635757280942,0,54.6,25.6,19.8,8,0.0183942118002323,0.18394
"cashiers","10_20",0.0119,1.5096443452381,0.210069553241103,0,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,0.017434422564973,0.17434
"cashiers","20_40",0.009,1.04,0.215883238671701,1,59.3,23,17.7,9,0.0085176,0.17035
"cashiers","40_100",0.01,1.31,0.0989949493661166,2,66.4,18.5,15.1,7.5,0.0121175,0.72705
"cataula","0_10",3,1.39,0.246635757280942,1,66.2,18.5,15.3,4,4.0032,40.032
"cataula","10_20",1.34,1.72,0.210069553241103,1,68,18,14,11,2.051272,20.51272
"cataula","20_40",2.34,1.51,0.215883238671701,1,36.7,13.5,49.8,4,3.392064,67.84128
"cataula","40_100",1.77333333333333,1.505,0.120208152801713,2,32.0333333333333,15.6,52.3666666666667,2.66666666666667,2.59769688888889,155.86181
"cecil","0_10",2.39220526315789,1.58571428571429,0.13226956602045,7,58.4710526315789,21.9894736842105,21.9684210526316,6.13157894736842,3.56076156119906,35.60762
"cecil","10_20",1.57466,1.64666666666667,0.102143689640297,3,53.74,20.095,29.655,5.6,2.44773548586667,24.47735
"cecil","20_40",0.468765217391304,1.59083333333333,0.124568953766275,12,46.504347826087,20.4652173913043,36.6217391304348,5.21739130434783,0.706819820289854,14.1364
"cecil","40_100",0.459955555555556,1.498,0.097689087900015,20,35.9277777777778,21.0986111111111,42.8472222222222,2.30555555555556,0.673127834987654,40.38767
"chandler","0_10",0.0182,1.3509262485482,0.246635757280942,0,40.35,22.05,29.3,22,0.0191777490243903,0.19178
"chandler","10_20",0.0038,1.62,0.210069553241103,1,65,22,13,47,0.00326268,0.03263
"chandler","20_40",0.011,1.50104635443921,0.215883238671701,0,44.2,18.4,37.4,10,0.0148603589089482,0.29721
"chandler","40_100",0.0095,2.07666666666667,0.271538824725551,3,80.75,10.1,9.15,21.75,0.0154374208333334,0.92625
"chestnut","0_10",0.476266666666667,1.3509262485482,0.246635757280942,0,34.7,48.6,14.6333333333333,3,0.624099107069299,6.24099
"chestnut","10_20",0.239583333333333,1.5096443452381,0.210069553241103,0,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,0.351008157383034,3.51008
"chestnut","20_40",0.0029,1.13,0.215883238671701,1,42.05,37.05,20.9,10,0.0029493,0.05899
"chestnut","40_100",0.00213333333333333,1.45,0.0989949493661167,2,65,29.3,5.7,1.66666666666667,0.00304177777777778,0.18251
"chewacla","0_10",3.39214285714286,1.355,0.190918830920368,2,13.0714285714286,48.3571428571429,38.5714285714286,1.28571428571429,4.53725759693878,45.37258
"chewacla","10_20",4.49,1.5096443452381,0.210069553241103,0,12.45,41,46.55,0.5,6.74441159456847,67.44412
"chewacla","20_40",0.3132,1.48,0.0692820323027551,3,11.45,48.925,39.625,3.5,0.44731224,8.94624
"chewacla","40_100",1.96107142857143,1.53333333333333,0.118462370959446,3,15.65,46.3285714285714,38.0214285714286,0.5,2.9919413095238,179.51648
"clarksville","0_10",2.80032189349112,1.3509262485482,0.246635757280942,0,26.5863905325444,63.2307692307692,10.1786982248521,0.93491124260355,3.74766039294351,37.4766
"clarksville","10_20",0.687298039215686,1.5096443452381,0.210069553241103,0,24.1833333333333,65.2088235294118,10.6098039215686,0.235294117647059,1.03513424404603,10.35134
"clarksville","20_40",0.654918032786885,1.50104635443921,0.215883238671701,0,24.6770491803279,62.575956284153,12.7448087431694,1.2568306010929,0.970706897435658,19.41414
"clarksville","40_100",0.833494140625,2.04,0.0916515138991169,3,26.1935546875,46.393359375,27.41328125,1.05078125,1.68246131856995,100.94768
"clebit","0_10",0.0972,1.48,0.246635757280942,1,57.1,28.5,14.4,10,0.1294704,1.2947
"clebit","10_20",0.0722,1.5096443452381,0.210069553241103,0,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,0.105778597411012,1.05779
"clebit","20_40",0.0472,1.51,0.215883238671701,1,56.5,30,13.5,14,0.06129392,1.22588
"clebit","40_100",0.0472,1.59451747615447,0.19649269329816,0,47.1527031434407,24.7802985973975,23.2730709428291,3.29052854268621,0.0727847327884206,4.36708
"clifton","0_10",1.1783,1.29857142857143,0.108386433872598,7,36.05,35.75,28.2,11.375,1.35605707553572,13.56057
"clifton","10_20",0.0866,1.53,0.0916515138991168,3,27.4666666666667,37.0666666666667,35.4666666666667,2,0.12984804,1.29848
"clifton","20_40",0.37645,1.47166666666667,0.0820771994324043,6,28.0125,31.425,40.5625,5.75,0.522153403958335,10.44307
"clifton","40_100",0.304672727272727,1.3935,0.106389304963076,20,38.1909090909091,27.1363636363636,34.6727272727273,5.45454545454545,0.401403548429752,24.08421
"congaree","0_10",0.42,1.3509262485482,0.246635757280942,0,48.2886660985049,31.5216808172776,14.2365984772959,2.55253239021966,0.552906235764132,5.52906
"congaree","10_20",0.42,1.5096443452381,0.210069553241103,0,53.2,29,17.8,0,0.634050625000002,6.34051
"congaree","20_40",0.97575,1.50104635443921,0.215883238671701,0,44.6474010593,29.3694540148412,19.535668248824,2.4242495503916,1.42913930675074,28.58279
"congaree","40_100",1.5315,1.59451747615447,0.19649269329816,0,43.05,35.725,21.225,0,2.44200351473057,146.52021
"cowarts","0_10",0.713483333333333,1.525,0.088881944173156,4,73.7916666666667,9.60833333333333,8.75,3.83333333333333,1.04635303680556,10.46353
"cowarts","10_20",0.00356,1.65,0.0282842712474619,2,79.2,10.26,10.54,3.4,0.005674284,0.05674
"cowarts","20_40",0.278928571428571,1.66333333333333,0.091796877216312,6,65.7857142857143,8.22857142857143,23.6357142857143,5.42857142857143,0.438765268707482,8.77531
"cowarts","40_100",0.18352972972973,1.70055555555556,0.108653373420044,18,61.2027777777778,6.44864864864865,31.6567567567568,2.75675675675676,0.303498594703353,18.20992
"cowee","0_10",0.0024,1.33,0.246635757280942,1,67.2,20.6,12.2,20,0.0025536,0.02554
"cowee","10_20",0.0024,1.5096443452381,0.210069553241103,0,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,0.00351618606352396,0.03516
"cowee","20_40",0.0024,1.64,0.215883238671701,1,62.8,18.6,18.6,17,0.00326688,0.06534
"cowee","40_100",0.00206666666666667,1.83,0.395979797464466,2,78.9666666666667,9.6,11.4333333333333,18.3333333333333,0.00308863333333333,0.18532
"craggey","0_10",0.038,0.76,0.10816653826392,3,60.075,33.2,23.625,6.75,0.0269306,0.26931
"craggey","10_20",1.225,1.04,0.210069553241103,1,71.85,20.6,7.55,21,1.00646,10.0646
"craggey","20_40",0,0.97,0.215883238671701,1,79.6666666666667,16.9,3.43333333333333,20.3333333333333,0,NA
"craggey","40_100",0,1.59451747615447,0.19649269329816,0,68.1,23.5,8.4,20,0,NA
"craven","0_10",0.0443,1.45,0.014142135623731,2,23.3,67.2,9.5,0,0.064235,0.64235
"craven","10_20",0.0014,1.62,0.210069553241103,1,25.9,63.9,10.2,0,0.002268,0.02268
"craven","20_40",0.0164,1.58333333333333,0.153079500042734,3,15.0666666666667,57.7666666666667,27.1666666666667,0,0.0259666666666666,0.51933
"craven","40_100",0.00692,1.588,0.0402492235949962,5,15.24,38.26,46.5,0,0.01098896,0.65934
"cullasaja","0_10",2.3648,0.925,0.0353553390593273,2,58.7,29,12.3,57,0.9405992,9.40599
"cullasaja","10_20",0.0798,0.84,0.210069553241103,1,55.3,23.7,21,51,0.03284568,0.32846
"cullasaja","20_40",0.566666666666667,1.32666666666667,0.319426569548204,3,58.0666666666667,28.8,13.1333333333333,46.6666666666667,0.400948148148149,8.01896
"cullasaja","40_100",0.788257142857143,1.54666666666667,0.185022521151706,3,63.9428571428571,23.8571428571429,12.2,58.8571428571429,0.50160180244898,30.09611
"davidson","0_10",2.43797142857143,1.59,0.12,3,47.1571428571429,23.3,29.5428571428571,1,3.83761082571429,38.37611
"davidson","10_20",1.12033333333333,1.5096443452381,0.210069553241103,0,30.9333333333333,34.0333333333333,30.7,1.33333333333333,1.66875414969577,16.68754
"davidson","20_40",0.179933333333333,1.5725,0.0206155281280883,4,40.1,20.9666666666667,38.9333333333333,0.666666666666667,0.281058865555556,5.62118
"davidson","40_100",0.3827,1.57666666666667,0.104626319187223,6,27.2,16.3357142857143,56.4642857142857,0.785714285714286,0.598649409285716,35.91896
"dorovan","0_10",0.002,1.3509262485482,0.246635757280942,0,48.2886660985049,31.5216808172776,14.2365984772959,2.55253239021966,0.00263288683697206,0.02633
"dorovan","10_20",0.002,1.5096443452381,0.210069553241103,0,21,0.1,17.9,0,0.0030192886904762,0.03019
"dorovan","20_40",0.0023,1.50104635443921,0.215883238671701,0,44.6474010593,29.3694540148412,19.535668248824,2.4242495503916,0.00336871166336326,0.06737
"dorovan","40_100",0.0026,1.59451747615447,0.19649269329816,0,65.3,0.8,22.2,0,0.00414574543800162,0.24874
"dothan","0_10",3.30215,1.405,0.346482322781408,2,74.3809523809524,14.13125,7.63125,1.8125,4.55542943640625,45.55429
"dothan","10_20",1.07478571428571,1.65666666666667,0.124525767079214,6,78.5595238095238,13.047619047619,7.08095238095238,2.19047619047619,1.74155888730159,17.41559
"dothan","20_40",0.552532203389831,1.778,0.0834865258589673,5,66.6610169491525,13.3305084745763,15.0779661016949,2.91525423728814,0.95376273418443,19.07525
"dothan","40_100",0.300057407407407,1.636,0.068677992593455,25,55.375,12.6240740740741,27.6231481481481,3.31481481481481,0.474621694182442,28.4773
"duplin","0_10",0.0143,1.3509262485482,0.246635757280942,0,37.2,23.2,9.4,0,0.0193182453542393,0.19318
"duplin","10_20",0.0464,1.5096443452381,0.210069553241103,0,7.3,17.8,12,0,0.0700474976190478,0.70047
"duplin","20_40",0.0160666666666667,1.50104635443921,0.215883238671701,0,52.9333333333333,21.7666666666667,24.9333333333333,0,0.02411681142799,0.48234
"duplin","40_100",0.0157142857142857,1.59451747615447,0.19649269329816,0,38.5,18.2857142857143,49.5714285714286,0,0.0250567031967131,1.5034
"edneyville","0_10",0.006,0.82,0.246635757280942,1,32.7,38.7,28.6,5,0.004674,0.04674
"edneyville","10_20",0.0028,1.19,0.210069553241103,1,36.5,34.2,29.3,2,0.00326536,0.03265
"edneyville","20_40",0.0018,1.50104635443921,0.215883238671701,0,44.6474010593,29.3694540148412,19.535668248824,2.4242495503916,0.00263638304089299,0.05273
"edneyville","40_100",8e-04,1.075,0.0493288286231624,4,66.5,24.24,9.26,0.6,0.00085484,0.05129
"enon","0_10",0.0876,1.07,0.246635757280942,1,60.1,29.95,9.95,27.5,0.0679557,0.67956
"enon","10_20",0.0566,1.48,0.210069553241103,1,46.3,40.6,13.1,29,0.05947528,0.59475
"enon","20_40",0.0787,1.52,0.215883238671701,1,30.75,19.9,49.35,8,0.11005408,2.20108
"enon","40_100",1.6276,1.76333333333333,0.0873689494805411,3,32.3857142857143,17.5285714285714,50.0857142857143,2.57142857142857,2.79620129904761,167.77208
"escambia","0_10",0.00113333333333333,1.3509262485482,0.246635757280942,0,60.7333333333333,29.2666666666667,7.6,0,0.00153104974835463,0.01531
"escambia","10_20",0.0026,1.33,0.210069553241103,1,48.525,31.9,6.7,0.5,0.00344071,0.03441
"escambia","20_40",4e-04,1.7,0.215883238671701,1,49.56,29.92,9.44,0.6,0.00067592,0.01352
"escambia","40_100",0.000769230769230769,1.78,0.0282842712474619,2,57.0076923076923,29.0076923076923,15.3538461538462,0.615384615384615,0.00136080473372781,0.08165
"estate","0_10",3.5915,1.3509262485482,0.246635757280942,0,45.975,45.375,8.65,0,4.85185162166086,48.51852
"estate","10_20",1.7395,1.64,0.210069553241103,1,37.175,47.8,15.025,0,2.85278,28.5278
"estate","20_40",4.1204,1.50104635443921,0.215883238671701,0,23.96,49.14,26.9,0,6.18491139883132,123.69823
"estate","40_100",1.48353846153846,1.74,0.19649269329816,1,29.3923076923077,30,40.6076923076923,0,2.58135692307692,154.88142
"esto","0_10",0.01798,1.3509262485482,0.246635757280942,0,57.84,13.68,11.89,0,0.0242896539488966,0.2429
"esto","10_20",0.00836,1.5096443452381,0.210069553241103,0,38.78,18.04,21.58,0,0.0126206267261905,0.12621
"esto","20_40",0.0123818181818182,1.50104635443921,0.215883238671701,0,38.5363636363636,13.2272727272727,39.6,0,0.0185856830431473,0.37171
