"soil_name","horizon","total_ca_horizon","total_k_horizon","total_mg_horizon","total_p_horizon","total_n_horizon","total.org.c","total_c_soil","base_sat","ph.cacl","ph.h2o","bulk_density","bulk_density_sd","sand","silt","clay","frag"
"acadia","0_10",0.0024147,0.000107,1e-07,NA,8e-07,NA,NA,19,3.9,4.5,1.4,0.246635757280942,58.5,36.4,5.1,2
"acadia","10_20",0.003106,0.0002571,1e-07,NA,6e-07,NA,NA,23.5,4,4.65,1.5096443452381,0.210069553241103,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427
"acadia","20_40",0.0078745,0.0008668,4e-07,NA,7e-07,NA,NA,28,4.1,4.8,1.62,0.215883238671701,40.9,37.5,21.6,2
"acadia","40_100",0.0402242,0.0068025,4.1e-06,NA,2.5e-06,NA,NA,39.3333333333333,4.13333333333333,5.1,1.81,0.05,35.8333333333333,33.0333333333333,31.1333333333333,1.66666666666667
"albany","0_10",0.0126081,0.0012497,2e-07,4.02976,9e-07,1.788,18.4188616111111,41.5,4.5,4.95,1.6,0.246635757280942,46.4333333333333,7.40555555555556,2.86666666666667,0.0555555555555556
"albany","10_20",0.0017814,0.000286,0,3.5552124,6e-07,NA,10.4945,40,4.84285714285714,5.4,1.5096443452381,0.210069553241103,45.6285714285714,5.97142857142857,2.24285714285714,0
"albany","20_40",0.0006606,0.0029761,1e-07,7.3980877,5e-07,0.6418,9.37398933333333,38.5,4.87222222222222,5.38333333333333,1.69,0.014142135623731,57.1647058823529,7.74444444444444,2.60555555555556,0.0555555555555556
"albany","40_100",0.0017783,0.0091022,2e-07,7.7668005,6e-07,0.2546,4.34421886792453,42.6,4.93207547169811,5.4811320754717,1.74666666666667,0.0956382071489562,53.5452830188679,6.73962264150943,2.40754716981132,0.0754716981132075
"allanton","0_10",0.0002432,0.0003161,0,NA,NA,NA,NA,NA,4,4.1,1.3509262485482,0.246635757280942,21.2,6.2,7.8,0
"allanton","10_20",9.06e-05,0.0001178,0,NA,NA,NA,NA,NA,4.3,4.6,1.5096443452381,0.210069553241103,95.2,6.5,2,0
"allanton","20_40",0.0001201,0.0001171,0,NA,NA,NA,NA,NA,4.5,4.55,1.50104635443921,0.215883238671701,17.25,8.15,3.05,0
"allanton","40_100",0.0004592,NA,0,NA,NA,NA,NA,NA,4.72,4.8,1.59451747615447,0.19649269329816,68.1,7,2.68,0
"angelina","0_10",1.28826,0.05202,6.06e-05,NA,2.1e-06,NA,21.0097,71,4,4.4,1.53,0.246635757280942,30.2,40.5,29.3,0
"angelina","10_20",1.3749753,0.0586031,7.08e-05,NA,2.1e-06,NA,16.7662793891581,73,4.05,4.55,1.5096443452381,0.210069553241103,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427
"angelina","20_40",3.7467,0.16652,0.0002067,NA,5.2e-06,NA,25.8882,75,4.1,4.7,1.81,0.215883238671701,16.6,42.1,41.3,0
"angelina","40_100",5.71098,0.1764533,0.0003329,NA,7.8e-06,NA,37.3452,69,3.93333333333333,4.7,1.69666666666667,0.0550757054728611,52.5333333333333,22.9666666666667,24.5,0
"appling","0_10",0.0005966,0.0002192,0,NA,1.5e-06,3.1255,18.68928,13,4.05,4.3,1.3509262485482,0.246635757280942,65.0666666666667,21.1333333333333,12.6,4
"appling","10_20",0.0043629,0.0006329,1e-07,NA,8e-07,0.317,6.8992,14.3333333333333,4.5,5.15,1.5096443452381,0.210069553241103,31.175,38.425,15.125,0
"appling","20_40",0.0003002,0.002927,2e-07,NA,1.3e-06,NA,3.3115,15.6666666666667,4.36666666666667,4.3,1.50104635443921,0.215883238671701,36.8,20.6,42.6,0
"appling","40_100",0.0017376,0.0036053,3e-07,NA,2.5e-06,0.1784,0.461753636363636,17,4.23333333333333,4.89090909090909,1.31,0.19649269329816,42.0181818181818,25.5,32.9090909090909,2.72727272727273
"arkana","0_10",0.5702429,0.0203416,2.21e-05,21.61482,NA,NA,NA,70.5,5.29333333333333,5.775,1.3509262485482,0.246635757280942,26.26875,54.1375,19.6,0
"arkana","10_20",1.0891868,0.0390718,4.44e-05,24.1543095,NA,NA,NA,68.8571428571429,5.03333333333333,5.85714285714286,1.5096443452381,0.210069553241103,26.5285714285714,49.4571428571429,24.0142857142857,0
"arkana","20_40",1.9956648,0.0588537,0.0001222,48.0334833,NA,NA,NA,74.7647058823529,5.40588235294118,5.94736842105263,1.50104635443921,0.215883238671701,19.9578947368421,39.3421052631579,40.6947368421053,0
"arkana","40_100",9.4986354,0.2529025,0.0007303,88.6551717,NA,NA,NA,88.1875,6.06363636363636,6.35135135135135,1.59451747615447,0.19649269329816,11.5108108108108,26.2378378378378,62.2378378378378,0
"ashe","0_10",0.0124078,0.0012274,2e-07,NA,NA,NA,NA,39.3333333333333,4.6,5.03333333333333,1.26,0.246635757280942,48.7666666666667,35.2333333333333,16,6.33333333333333
"ashe","10_20",0.0013167,0.0006347,1e-07,NA,NA,NA,NA,20,4.25,4.85,1.5096443452381,0.210069553241103,49.2,36.75,14.05,2
"ashe","20_40",NA,NA,NA,NA,NA,NA,NA,15,4.3,5,1.58,0.215883238671701,63.5,22.7,13.8,1
"ashe","40_100",0.0037547,0.0034682,1.1e-06,NA,NA,NA,NA,38.75,4.3,5.02,1.79,0.19649269329816,59.06,27.64,13.3,8
"ashlar","0_10",0.0008689,0.0002054,0,NA,5e-07,NA,NA,14,4.3,4.6,1.3509262485482,0.246635757280942,48.2886660985049,31.5216808172776,14.2365984772959,2.55253239021966
"ashlar","10_20",0.000967,0.0002286,0,NA,6e-07,NA,NA,14,4.3,4.6,1.5096443452381,0.210069553241103,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427
"ashlar","20_40",0.0017823,0.0004213,0,NA,1.1e-06,NA,NA,14,4.3,4.6,1.57,0.215883238671701,74.2,20.1,5.7,14
"ashlar","40_100",0.0080073,NA,1e-07,NA,1.5e-06,NA,NA,33.5,4.45,5.1,1.55,0.19649269329816,75.2,19.4,5.4,30
"attoyac","0_10",0.0949505,0.012259,2.2e-06,NA,4e-07,0.7879,15.5729166666667,70.5,5,5.73333333333333,1.63,0.226274169979695,64.0333333333333,31.7333333333333,4.23333333333333,0.333333333333333
"attoyac","10_20",0.0048487,0.0004284,1e-07,NA,7e-07,1.3965,13.490829,66,4.45,4.95,1.585,0.134350288425444,72.75,24.25,3,1
"attoyac","20_40",0.284745,0.019968,4.8e-06,NA,1e-06,0.4698,22.1754346666667,70.8,4.94,5.51666666666667,1.648,0.122351951353462,61.2333333333333,30.45,8.31666666666667,0.333333333333333
"attoyac","40_100",0.2368938,0.0411656,8.3e-06,NA,2.1e-06,0.2857,39.5142250909091,68.1111111111111,4.73333333333333,5.37272727272727,1.7775,0.0337003603202442,49.0545454545455,26.5636363636364,24.3818181818182,0.181818181818182
"bayboro","0_10",0.0226956,0.0031612,5e-07,NA,NA,NA,NA,38,NA,4.3,1.3509262485482,0.246635757280942,44.8,20.4,34.8,0
"bayboro","10_20",0.0141907,0.0027476,4e-07,NA,NA,NA,NA,25,NA,4.5,1.5096443452381,0.210069553241103,36,31.2666666666667,32.7333333333333,0
"bayboro","20_40",0.0060042,0.0017562,7e-07,NA,NA,NA,NA,30,NA,4.2,1.50104635443921,0.215883238671701,31.95,32.85,35.2,0
"bayboro","40_100",0.1539241,0.0078769,3.4e-06,NA,NA,NA,NA,59,NA,4.47777777777778,1.59451747615447,0.19649269329816,26.6666666666667,24.5,48.8333333333333,0
"beauregard","0_10",0.0075512,0.0006072,1e-07,NA,1.7e-06,NA,NA,45.8333333333333,4.9,5.21666666666667,1.39,0.246635757280942,39.1833333333333,55.1333333333333,5.68333333333333,1.16666666666667
"beauregard","10_20",0.0022546,0.0001544,1e-07,NA,4e-07,NA,NA,27.8333333333333,4.53333333333333,5.08333333333333,1.6,0.210069553241103,36.0666666666667,54.7,9.23333333333333,1
"beauregard","20_40",0.0029831,0.0007506,2e-07,NA,7e-07,NA,NA,17.6666666666667,4.575,4.83333333333333,1.62,0.215883238671701,30.8166666666667,52.3666666666667,16.8166666666667,1
"beauregard","40_100",0.0091893,0.0022923,8e-07,NA,1.6e-06,NA,NA,19.4285714285714,4.47,4.95714285714286,1.70666666666667,0.0850490054811538,27.90625,52.375,19.71875,1.25
"benndale","0_10",NA,NA,NA,NA,NA,NA,NA,27,NA,5.3,1.53,0.246635757280942,71.4,18.95,9.65,0.5
"benndale","10_20",NA,NA,NA,NA,NA,NA,NA,26,NA,5.125,1.5096443452381,0.210069553241103,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427
"benndale","20_40",NA,NA,NA,NA,NA,NA,NA,25,NA,4.95,1.63,0.215883238671701,64.15,20.1,15.75,0
"benndale","40_100",NA,NA,NA,NA,NA,NA,NA,25.5,NA,5.1,1.69,0.0173205080756888,69.12,17.16,13.72,0.6
"bernaldo","0_10",0.3586259,0.0154861,7e-06,0.513352,2.2e-06,NA,32.1533,69.3333333333333,4.3,5.36666666666667,1.3509262485482,0.246635757280942,62.0666666666667,35.5,2.43333333333333,0
"bernaldo","10_20",0.003744,0.0005616,1e-07,0.3288,1.2e-06,NA,12.3013,86,4.51666666666667,5.8,1.44,0.210069553241103,52.3,42.1,5.6,0
"bernaldo","20_40",0.093016,0.0093545,4.2e-06,0.2315333,2e-07,NA,6.5068,44.5,4.73333333333333,5.475,1.51,0.0800000000000001,56.625,37.875,5.5,0
"bernaldo","40_100",1.8884005,0.0955359,0.0001169,0.2403419,1.5e-06,NA,1.11061114285714,67.7142857142857,4.56,5.41428571428571,1.67142857142857,0.0817370930542087,41.4857142857143,32.4428571428571,26.0714285714286,0.142857142857143
"besner","0_10",0.001736,0.0002418,0,NA,NA,NA,22.964,20,NA,3.85,1.24,0.246635757280942,66,31.2,2.8,0
"besner","10_20",0.0017581,0.0001428,0,NA,NA,NA,8.59009425543627,25.5,NA,4.05,1.5096443452381,0.210069553241103,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427
"besner","20_40",0.00294,NA,1e-07,NA,NA,NA,4.7267,31,NA,4.25,1.47,0.014142135623731,65.45,31.85,2.7,0
"besner","40_100",0.0028358,NA,2e-07,NA,NA,NA,0.8221,34.2,NA,4.46,1.688,0.148895936814945,61.6,35.62,2.78,0
"bethera","0_10",0.4251198,0.0148526,1.33e-05,NA,3.5e-06,3.4544,NA,45,3.95,4.35,1.27,0.246635757280942,48.9,54.65,31.7,0
"bethera","10_20",0.0013889,0.0001178,0,NA,3.2e-06,NA,NA,54,3.9,4.4,1.5096443452381,0.210069553241103,6.8,51.5,24.3,0
"bethera","20_40",0.93599,0.0255123,3.32e-05,NA,3.9e-06,0.2278,NA,63,4.15,4.85,1.34,0.215883238671701,46.1,49.95,38.55,0
"bethera","40_100",1.9412136,0.0846058,7.56e-05,NA,6.5e-06,0.1479,NA,42,3.76666666666667,4.63333333333333,1.74,0.19649269329816,15.5666666666667,30.1,53.9,0
"betis","0_10",0.1147149,0.0047872,1.9e-06,NA,7e-07,NA,9.34209382481442,66.5,5.2,5.65,1.3509262485482,0.246635757280942,48.2886660985049,31.5216808172776,14.2365984772959,2.55253239021966
"betis","10_20",0.1315504,0.0054898,2.2e-06,NA,8e-07,1.2077,6.0834,66.5,5.2,5.65,1.5096443452381,0.210069553241103,90.85,7.35,1.8,0
"betis","20_40",0.0017412,0.0002342,0,NA,5e-07,NA,6.3099,44,4.7,5.3,1.50104635443921,0.215883238671701,84.3,13.1,2.6,0
"betis","40_100",0.1301558,0.024929,2.3e-06,NA,2.1e-06,0.1032,3.9758,49.6,5.12,5.8,1.72,0.19649269329816,86.76,9.2,4.04,0
"bibb","0_10",0.1077364,0.027694,5.2e-06,NA,3.4e-06,NA,0.0058,20.75,4.46666666666667,5.225,1.3509262485482,0.246635757280942,70.375,21.9,7.725,0
"bibb","10_20",0.0143416,0.012832,1.3e-06,NA,2.7e-06,NA,0,10.5,4.48333333333333,4.25,1.5096443452381,0.210069553241103,48.3,37.55,14.05,0
"bibb","20_40",0.028272,0.012768,5e-07,NA,2.4e-06,NA,0,6,4.5,4.78,1.14,0.215883238671701,61.52,27.56,10.88,0
"bibb","40_100",0.0942032,0.0173532,1.1e-06,NA,6.6e-06,NA,0,14.3,4.4,4.87,1.38,0.127279220613579,76.28,15.69,7.99,0.2
"blanton","0_10",0.0144985,0.0021509,5e-07,11.223,1.5e-06,1.4011,23.7899,30.3333333333333,4.61764705882353,5.29473684210526,1.45,0.246635757280942,54.0944444444444,6.24736842105263,2.58947368421053,0
"blanton","10_20",0.0247204,0.0034067,1.2e-06,25.5129894,7e-07,1.4432,14.3225,52,4.78571428571429,5.4375,1.5096443452381,0.210069553241103,64.475,8.375,2.9875,0
"blanton","20_40",0.0012008,0.0029382,3e-07,28.7300272,7e-07,0.464,13.8139,36,4.825,5.35,1.50104635443921,0.215883238671701,51.1769230769231,7.76428571428571,3.35714285714286,0
"blanton","40_100",0.0029221,0.0110806,1e-06,8.949,7e-07,0.2383,7.4794,50.3333333333333,4.81162790697674,5.29387755102041,1.57,0.0264575131106459,58.4387755102041,6.66734693877551,2.73877551020408,0
"bonneau","0_10",0.3626286,0.0126944,5.4e-06,5.0524364,2.9e-06,1.2794,45.4068327272727,46.4285714285714,4.6,5.15454545454545,1.66,0.246635757280942,76.54,11.3454545454545,4.59090909090909,1.81818181818182
"bonneau","10_20",0.0201559,0.0029176,0,10.0605833,7e-07,1.0061,17.6555666666667,24.3333333333333,4.93333333333333,5.38333333333333,1.81,0.210069553241103,75.9833333333333,8.43333333333333,2.73333333333333,4.16666666666667
"bonneau","20_40",0.1266754,0.0062949,3.6e-06,8.7637148,7e-07,0.5004,10.1126081538462,48.3333333333333,4.95833333333333,5.5,1.50104635443921,0.215883238671701,65.4692307692308,11.6076923076923,6.16923076923077,1.46153846153846
"bonneau","40_100",0.0847771,0.0096087,5e-06,1.2154222,2.4e-06,0.3018,1.90514962962963,39.6206896551724,4.49411764705882,5.12962962962963,1.64,0.0299999999999999,55.8648148148148,9.37592592592593,18.2851851851852,1.18518518518519
"boulogne","0_10",0.0007655,5.27e-05,0,NA,NA,NA,NA,NA,3.7,4.5,1.3509262485482,0.246635757280942,59.3333333333333,4.66666666666667,1.86666666666667,0
"boulogne","10_20",0.000544,3.43e-05,0,NA,NA,NA,NA,NA,3.98,4.76,1.5096443452381,0.210069553241103,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427
"boulogne","20_40",0.0005284,2.34e-05,0,NA,NA,NA,NA,NA,4.26,5.02,1.50104635443921,0.215883238671701,33.675,5.22,2.54,0
"boulogne","40_100",0.0008419,3.73e-05,0,NA,NA,NA,NA,NA,4.79,5.17,1.59451747615447,0.19649269329816,67.5444444444445,4.33,2.65,0
"bude","0_10",0.00847,0.0021021,1e-07,NA,NA,NA,NA,61.5,NA,5.55,1.54,0.127279220613579,24.4,65.55,10.05,0
"bude","10_20",0.0064463,0.0012856,1e-07,NA,NA,NA,NA,48.5,NA,5.225,1.5096443452381,0.210069553241103,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427
"bude","20_40",0.0099069,0.0011708,3e-07,NA,NA,NA,NA,35.5,NA,4.9,1.50104635443921,0.215883238671701,16.15,64.55,19.3,0
"bude","40_100",0.0279167,0.0056615,2.1e-06,NA,NA,NA,NA,30.3333333333333,NA,4.75555555555556,1.675,0.124766448481419,14.8888888888889,61.2222222222222,23.8888888888889,0
"burton","0_10",0.0008173,0.0007844,0,0.1593514,6e-06,NA,NA,3.33333333333333,3.64,4.22222222222222,0.7225,0.12737739202857,55.0444444444444,29.3111111111111,20.5125,11.7777777777778
"burton","10_20",0.0003544,0.0071422,4e-07,0.2214781,3.6e-06,NA,NA,2,4.25,4.45,0.935,0.275771644662753,55.35,28.125,16.525,5.25
"burton","20_40",0.0002379,0.0050218,0,0.4406275,4.9e-06,1.4364,NA,1,4.18,4.525,1.046,0.114367827643966,54.7625,30.6875,14.55,15.75
"burton","40_100",0.0013251,0.039591,1e-06,14.7355647,5.3e-06,1.0416,NA,1.71428571428571,4.52857142857143,4.88181818181818,1.27166666666667,0.0847152091815081,56.1636363636364,30.5181818181818,13.3181818181818,10.7272727272727
"caddo","0_10",0.0017454,0.0001459,0,NA,1e-06,NA,NA,16.2857142857143,4.38,4.62857142857143,1.465,0.0494974746830584,24.4285714285714,69.4571428571429,6.11428571428571,0.714285714285714
"caddo","10_20",0.0013373,0.0001863,1e-07,NA,5e-07,NA,NA,14.25,4.35,4.8,1.6,0.210069553241103,19.1,69.575,11.325,0.5
"caddo","20_40",0.00179,0.0002294,1e-07,NA,7e-07,NA,NA,11.875,4.48,4.8375,1.685,0.0212132034355964,21.4,66.675,11.925,0.25
"caddo","40_100",0.0151918,0.0019417,1.2e-06,NA,1.6e-06,NA,NA,21.625,4.48181818181818,5.0375,1.7075,0.0713559154286921,18.26875,63.74375,17.9875,0.3125
"cahaba","0_10",0.43456,0.0134447,1.02e-05,NA,2.5e-06,1.6324,55.0431,53.1428571428571,4.81666666666667,5.51666666666667,1.4,0.0556776436283002,51.35,34.175,14.4666666666667,0
"cahaba","10_20",0.1838149,0.003699,4.3e-06,NA,2.4e-06,0.2101,29.4768,63,4.35,5.34285714285714,1.37,0.210069553241103,51.3,31.5,17.2,0
"cahaba","20_40",0.7132112,0.0174443,9.7e-06,NA,2.7e-06,0.2947,24.239,61.5,4.84,5.26,1.47333333333333,0.0757187779440037,47.9466666666667,32.9,19.14,0
"cahaba","40_100",1.6296015,0.0514623,2.23e-05,NA,7.1e-06,0.1101,9.5166,51.1052631578947,4.79230769230769,5.08484848484848,1.526,0.0439317652729776,46.1545454545455,28.3606060606061,25.469696969697,0
"carnasaw","0_10",0.0150011,0.0013821,3e-07,NA,NA,NA,NA,66.3333333333333,6,5.75,1.5,0.325269119345812,27.6,61.4,10.975,8.25
"carnasaw","10_20",0.0061489,0.0016649,2e-07,NA,NA,NA,NA,41.6666666666667,5.6,5.93333333333333,1.59,0.0565685424949237,29.775,56.975,14.3,9.75
"carnasaw","20_40",0.0050467,0.0052581,9e-07,NA,NA,NA,NA,26.6666666666667,3.9,4.8,1.43333333333333,0.155349069303081,11.4333333333333,36.4666666666667,52.0666666666667,4.66666666666667
"carnasaw","40_100",0.0071098,0.0109648,4.2e-06,NA,NA,NA,NA,15.9,3.75,5,1.55142857142857,0.110064915910047,15.6923076923077,33.7153846153846,51.8769230769231,5.61538461538461
"cartecay","0_10",NA,NA,NA,NA,NA,NA,NA,48,NA,5.2,1.3509262485482,0.246635757280942,53.1,26,20.9,0
"cartecay","10_20",NA,NA,NA,NA,NA,NA,NA,35.75,NA,5.15,1.5096443452381,0.210069553241103,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427
"cartecay","20_40",NA,NA,NA,NA,NA,NA,NA,23.5,NA,5.1,1.50104635443921,0.215883238671701,71.2,16.3,12.5,0
"cartecay","40_100",NA,NA,NA,NA,NA,NA,NA,40,NA,5.3,1.59451747615447,0.19649269329816,69,18.8,12.2,0
"cashiers","0_10",0.0018394,0.0013572,0,NA,3.8e-06,NA,NA,6,4.5,4.5,1.3509262485482,0.246635757280942,54.6,25.6,19.8,8
"cashiers","10_20",0.0017434,0.0009999,0,NA,3.2e-06,NA,NA,6,4.55,4.65,1.5096443452381,0.210069553241103,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427
"cashiers","20_40",0.0017035,0.0005167,0,NA,2.5e-06,NA,NA,6,4.6,4.8,1.04,0.215883238671701,59.3,23,17.7,9
"cashiers","40_100",0.0072705,0.0007089,3e-07,NA,4.7e-06,NA,NA,8.5,4.5,4.9,1.31,0.0989949493661166,66.4,18.5,15.1,7.5
"cataula","0_10",0.40032,0.0640512,1.95e-05,NA,1.8e-06,NA,NA,94,5.4,5.8,1.39,0.246635757280942,66.2,18.5,15.3,4
"cataula","10_20",0.2051272,0.0443932,1.18e-05,NA,7e-07,NA,NA,83,5.3,5.6,1.72,0.210069553241103,68,18,14,11
"cataula","20_40",0.6784128,0.0405888,3.62e-05,NA,2.1e-06,NA,NA,76,5.9,6.1,1.51,0.215883238671701,36.7,13.5,49.8,4
"cataula","40_100",1.5586181,0.0996109,4.22e-05,NA,2.9e-06,NA,NA,56,5.83333333333333,6.4,1.505,0.120208152801713,32.0333333333333,15.6,52.3666666666667,2.66666666666667
"cecil","0_10",0.3560762,0.0305678,1.2e-05,4.6143034,2.9e-06,1.8346,34.5422647894737,60.6875,5.03055555555556,5.30263157894737,1.58571428571429,0.13226956602045,58.4710526315789,21.9894736842105,21.9684210526316,6.13157894736842
"cecil","10_20",0.2447735,0.0188576,5.7e-06,4.5856373,1e-06,1.2747,15.4271312,51,5.08235294117647,5.49,1.64666666666667,0.102143689640297,53.74,20.095,29.655,5.6
"cecil","20_40",0.141364,0.0247989,5e-06,8.4438667,1.2e-06,0.578,9.93397565217391,44.05,5.13333333333333,5.53913043478261,1.59083333333333,0.124568953766275,46.504347826087,20.4652173913043,36.6217391304348,5.21739130434783
"cecil","40_100",0.4038767,0.0582628,2.3e-05,1.7561553,2.6e-06,0.1691,2.49628844444444,31.859375,4.84848484848485,5.39027777777778,1.498,0.097689087900015,35.9277777777778,21.0986111111111,42.8472222222222,2.30555555555556
"chandler","0_10",0.0019178,0.0013561,1e-07,NA,2.6e-06,NA,NA,4,4.2,4.45,1.3509262485482,0.246635757280942,40.35,22.05,29.3,22
"chandler","10_20",0.0003263,0.0005358,0,NA,4e-07,NA,NA,9,4.4,4.6,1.62,0.210069553241103,65,22,13,47
"chandler","20_40",0.0029721,0.000843,2e-07,NA,1.3e-06,NA,NA,23,4.8,5.3,1.50104635443921,0.215883238671701,44.2,18.4,37.4,10
"chandler","40_100",0.0092625,0.0057988,5e-07,NA,2.3e-06,0.1408,NA,16.75,4.6,5.1,2.07666666666667,0.271538824725551,80.75,10.1,9.15,21.75
"chestnut","0_10",0.0624099,0.0125038,9e-07,NA,1.74e-05,NA,NA,5,4.46666666666667,5.63333333333333,1.3509262485482,0.246635757280942,34.7,48.6,14.6333333333333,3
